Unnamed: 0,fecha,estacion,lluvia,Nombre,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,tsuelo_5,tsuelo_50,tsuelo_100,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,rad_solar,Longitud,Latitud,Altitud
3,1/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,15.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
62,1/6/2023,INS010301AT,30.5,SAN_JOSE_PINULA,,,,,,,,5,7.3,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
122,1/7/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,13.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
182,1/8/2023,INS010301AT,1.8,SAN_JOSE_PINULA,,,,,,,,5,13.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
241,2/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,8.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
300,2/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,4.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
360,2/7/2023,INS010301AT,1.5,SAN_JOSE_PINULA,,,,,,,,7,7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
419,2/8/2023,INS010301AT,26.9,SAN_JOSE_PINULA,,,,,,,,6,11,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
478,3/5/2023,INS010301AT,1.5,SAN_JOSE_PINULA,,,,,,,,2,5,315,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
537,3/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,4.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
597,3/7/2023,INS010301AT,0.6,SAN_JOSE_PINULA,,,,,,,,4,7.3,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
657,3/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
716,4/5/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,1,13.3,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
775,4/6/2023,INS010301AT,2,SAN_JOSE_PINULA,,,,,,,,5,7.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
835,4/7/2023,INS010301AT,70.8,SAN_JOSE_PINULA,,,,,,,,7,4.3,0,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
895,4/8/2023,INS010301AT,9.3,SAN_JOSE_PINULA,,,,,,,,6,11.7,225,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
954,5/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,15.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1013,5/6/2023,INS010301AT,0.7,SAN_JOSE_PINULA,,,,,,,,2,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1073,5/7/2023,INS010301AT,25.2,SAN_JOSE_PINULA,,,,,,,,6,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1133,5/8/2023,INS010301AT,2,SAN_JOSE_PINULA,,,,,,,,3,20,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1192,6/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1251,6/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,5,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1310,6/7/2023,INS010301AT,26.5,SAN_JOSE_PINULA,,,,,,,,5,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1370,6/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1429,7/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,20,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1488,7/6/2023,INS010301AT,1.2,SAN_JOSE_PINULA,,,,,,,,7,6.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
1547,7/7/2023,INS010301AT,1.6,SAN_JOSE_PINULA,,,,,,,,7,11.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1607,7/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,17.7,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1666,8/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,15.3,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1725,8/6/2023,INS010301AT,3.5,SAN_JOSE_PINULA,,,,,,,,5,4.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1785,8/7/2023,INS010301AT,27.9,SAN_JOSE_PINULA,,,,,,,,7,6.7,315,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1845,8/8/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,3,20,205,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
1904,9/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,11,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
1965,9/6/2023,INS010301AT,14,SAN_JOSE_PINULA,,,,,,,,6,9,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
2025,9/7/2023,INS010301AT,0.6,SAN_JOSE_PINULA,,,,,,,,6,7.3,180,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
2084,10/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,4,8.7,360,,,,,0,0,0,0,1,0,0,0,0,1,0,,-90.39191,14.52392,1744
2145,10/6/2023,INS010301AT,12.4,SAN_JOSE_PINULA,,,,,,,,4,5.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2205,10/7/2023,INS010301AT,8.4,SAN_JOSE_PINULA,,,,,,,,6,11,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2264,11/5/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,3,9.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2325,11/6/2023,INS010301AT,1.7,SAN_JOSE_PINULA,,,,,,,,3,9,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2385,11/7/2023,INS010301AT,5.1,SAN_JOSE_PINULA,,,,,,,,3,17.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2444,12/5/2023,INS010301AT,0.1,SAN_JOSE_PINULA,,,,,,,,4,7.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2504,12/6/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,2,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2564,12/7/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,13,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2623,13/05/2023,INS010301AT,24.5,SAN_JOSE_PINULA,,,,,,,,3,6.7,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2683,13/06/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,5,11,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2743,13/07/2023,INS010301AT,27.6,SAN_JOSE_PINULA,,,,,,,,5,17.7,225,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
2804,14/05/2023,INS010301AT,10,SAN_JOSE_PINULA,,,,,,,,4,9,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
