Unnamed: 0,fecha,estacion,lluvia,Nombre,tmin,tseca,tmax,eva_tan,eva_piche,hum_rel,bri_solar,nub,vel_viento,dir_viento,pre_atmos,tsuelo_5,tsuelo_50,tsuelo_100,Fenomenos/0,Fenomenos/1,Fenomenos/2,Fenomenos/3,Fenomenos/4,Fenomenos/5,Fenomenos/6,Fenomenos/7,Fenomenos/8,Fenomenos/9,Fenomenos/10,rad_solar,Longitud,Latitud,Altitud
0,1/5/2023,INS-140301,0,CHINIQUE,,,,,,,,6,1.3,0,,,,,0,0,0,0,0,0,0,0,0,1,0,,,,
1,1/5/2023,INS010101CV,0,INSIVUMEH,18,22.3,29,0.4,2.2,63,8.6,5,6.7,360,638.2,,,25,1,0,0,0,0,0,0,0,0,0,0,,-90.532679,14.587267,1502
2,1/5/2023,INS010102CV,0,LA_AURORA,17.4,23.3,29.6,,,70,,7,17.6,165,638.3,,,,0,0,0,0,1,0,0,0,0,0,0,,-90.52773,14.58619,1491
3,1/5/2023,INS010301AT,0,SAN_JOSE_PINULA,,,,,,,,6,15.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.39191,14.52392,1744
4,1/5/2023,INS010701AT,0,SAN_PEDRO_AYAMPUC,,,,,,,,7,2,9,,,,,0,1,0,0,0,0,0,0,0,0,0,,-90.4500096,14.7834166,1269
5,1/5/2023,INS010801AT,0,LO_DE_COY,,,,,,,,5,9,270,,,,,0,1,0,0,0,0,0,0,0,1,0,,-90.59922,14.62109,1686
6,1/5/2023,INS011401AT,0,AMATITLAN,,,,2.1,,,,4,11.7,360,,,,,1,0,0,0,0,0,0,0,0,0,0,,-90.63039,14.46785,1205
7,1/5/2023,INS020301CV,0,LOS_ALBORES,15,23.7,31,,,,,4,0.7,0,,,,,0,1,0,0,0,0,0,0,0,0,0,,-89.949167,15.0525,1391
8,1/5/2023,INS020302CV,0,SAN_AGUSTIN_ACASAGUASTLAN,22.3,30.9,38.5,,,,,1,6.7,360,,,,,0,1,0,0,0,0,0,0,0,0,0,,-89.9738746,14.9502817,371
9,1/5/2023,INS030101AT,0,ANTIGUA_GUATEMALA,,,,,,,,8,24.7,45,,,,,1,0,0,0,0,0,0,0,0,0,0,,-90.7383,14.53974,1539
10,1/5/2023,INS030801CV,0,SUIZA_CONTENTA,9.2,18.3,23.6,,,75,,5,1.1,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.659128,14.618572,2105
11,1/5/2023,INS040101CV,0,ALAMEDA_ICTA,12.6,21.6,27.4,5.1,,84,8.4,4,3,90,,,,,1,0,0,0,0,0,0,0,0,0,0,,-90.803967,14.637936,1750
12,1/5/2023,INS040301CV,0,SAN_MARTIN_JILOTEPEQUE,11,21.1,29.2,,4,,,4,2.7,270,,,,,0,0,0,0,1,0,0,0,0,0,0,,-90.792558,14.777474,1800
13,1/5/2023,INS040801AT,0,SANTA_MARGARITA,,,,,,,,4,8,90,,,,,1,0,0,0,0,0,0,0,0,0,0,,-91.01144,14.50575,1137
14,1/5/2023,INS041001CV,0,SANTA_CRUZ_BALANYA,10,18.8,26.2,,,92,,4,6.7,180,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.918504,14.683227,2080
15,1/5/2023,INS050101AT,0,CONCEPCION,,,,,,,,7,4.7,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.78758,14.32352,421
16,1/5/2023,INS050101CV,0,SABANA_GRANDE,18,26.1,32.8,1.5,,77,,4,2,360,,,,,0,1,0,0,0,0,0,0,0,0,0,,-90.830533,14.373773,730
17,1/5/2023,INS060101CV,0.2,LOS_ESCLAVOS,17.8,26,33.4,,,80,,3,6,90,,,,,1,0,0,0,0,0,0,0,0,1,0,,-90.2783,14.2528,737
18,1/5/2023,INS070101CV,0,EL_TABLON,4.8,15.9,23.8,4.4,,90,7.9,4,5.3,90,,,,19.3,0,0,0,0,0,0,0,0,0,1,0,,-91.1819444,14.7902778,2397
19,1/5/2023,INS071301CV,0,EL_CAPITAN,14.4,20.7,27,,,77,,4,8,180,,,,,0,1,0,0,0,0,0,0,0,1,0,,-91.140524,14.644497,1562
20,1/5/2023,INS071901CV,0,SANTIAGO_ATITLAN,12.4,20.3,27.6,4.6,,78,,4,12.3,180,,,,,0,1,0,0,0,0,0,0,0,1,0,,-91.232526,14.630858,1569
21,1/5/2023,INS080101AT,3.4,TOTONICAPAN,,,,3.4,,,,4,9.3,90,,,,,0,1,0,0,1,0,0,0,0,0,0,,-91.36441,14.91082,2478
22,1/5/2023,INS090101CV,2.9,LOS_ALTOS,8,17,25.4,4.4,,70,8.9,6,4.9,9,579.9,,,,0,0,0,0,1,0,0,0,0,0,0,,-91.50807279,14.8599015,2389
23,1/5/2023,INS090301CV,2.1,LABOR_OVALLE,7.8,17.3,27,0,,68,9.6,4,2.5,0,578.9,,,,0,0,0,0,0,1,1,0,0,1,0,,-91.514438,14.871334,2380
24,1/5/2023,INS100101CV,0,MAZATENANGO,22.5,27.3,38,,,78,,7,11.7,315,,,,,1,0,0,0,0,0,0,0,0,0,0,,-91.5027778,14.5283333,352
25,1/5/2023,INS110101CV,0,RETALHULEU_AEROPUERTO,22,30.9,36.4,,,53,,4,4,225,740.2,,,,0,1,0,0,0,0,0,0,0,0,0,,-91.69407,14.52486,205
26,1/5/2023,INS110701CV,0,CHAMPERICO_FEGUA,26.8,31.5,36.2,,,74,9.3,2,1.3,0,754.9,,,,0,1,0,0,0,0,0,0,0,1,0,,-91.91426,14.29397,5
27,1/5/2023,INS120101CV,0,SAN_MARCOS_PHC,10.4,15.1,20.4,3.5,,84,7.8,3,0,0,,,,,1,0,0,0,0,0,0,0,0,0,0,,-91.82333,14.96715,2420
28,1/5/2023,INS121601CV,0,CATARINA,22,30.3,38,,,78,,2,3.7,90,,,,,1,0,0,0,0,0,0,0,0,0,0,,-92.074858,14.856361,233
29,1/5/2023,INS121701CV,0,TECUN_UMAN,23,31.5,38.4,5.6,,57,8.7,2,6.3,45,,,,,0,0,0,0,1,0,0,0,0,0,0,,-92.128059,14.70195,29
30,1/5/2023,INS122101AT,0,LA_REFORMA,,,,,,,,5,5.7,225,,,,,0,1,0,1,1,0,0,0,0,1,0,,-91.8167,14.8,1133
31,1/5/2023,INS122301AT,0,IXCHIGUAN,,,,,,,,5,4.7,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-91.9395,15.16483,3336
32,1/5/2023,INS130101CV,0.6,HUEHUETENANGO,13,21.4,30.6,4.1,,58,8.6,3,0,0,612.3,,,,1,0,0,0,0,0,0,0,0,0,0,1.2,-91.502403,15.31828,1870
33,1/5/2023,INS130601CV,0,SAN_PEDRO_NECTA,14.4,24.8,33.2,,3.3,62,,3,4.3,0,,,,,0,1,0,0,0,0,0,0,0,0,0,,-91.76244,15.49459,1641
34,1/5/2023,INS131501CV,0,TODOS_SANTOS,6,16.3,24,,1.5,,,4,11.3,9,,,,,1,0,0,0,0,0,0,0,0,0,0,,-91.6003111,15.5080222,2480
35,1/5/2023,INS141301CV,0,NEBAJ,9.8,21,29.8,,,76,,3,1.3,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-91.142084,15.399247,1906
36,1/5/2023,INS141601CV,0,SACAPULAS,16.5,27.7,37,,,71,,5,2,45,772.5,,,,1,0,0,0,0,0,0,0,0,0,0,,-91.091976,15.290621,1180
37,1/5/2023,INS141901CV,0,CHIXOY_PCH,18.6,27.1,35,,3.3,77,,6,6,9,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.661261,15.357893,680
38,1/5/2023,INS142201AT,0,PLAYA_GRANDE_IXCAN,,,,,,,,5,,,,,,,1,0,0,0,0,0,0,0,0,0,0,,-90.74017,15.98888,186
39,1/5/2023,INS150401CV,0,CUBULCO,14.4,28.2,37.8,,,,,3,2,9,,,,,0,1,0,0,0,0,0,0,0,0,0,,-90.620582,15.109023,994
40,1/5/2023,INS150701CV,0,SAN_JERONIMO_R_H,16.6,24.9,33.7,,,87,9.7,1,12,360,,,,,0,0,0,0,0,0,0,0,0,1,0,,-90.252213,15.060903,1000
41,1/5/2023,INS160101CV,0,COBAN,14.4,23.1,30.4,1.9,,78,9.8,7,6.2,90,652.3,,,22.2,0,0,0,0,1,0,0,0,0,1,0,,-90.405518,15.46992,1323
42,1/5/2023,INS160701CV,0,PANZOS_PHC_ALTA_VERAPAZ,23.4,29.4,35.2,,,93,,6,9,180,,,,,0,1,0,0,0,0,0,0,0,1,0,,-89.64397,15.3974,33
43,1/5/2023,INS161201CV,0,SANTA_MARIA_CAHABON,23.8,28.7,33.8,,,90,,5,0.7,0,,,,,1,0,0,0,0,0,0,0,0,0,0,,-89.81227,15.608429,380
44,1/5/2023,INS170101CV,0,FLORES_AEROPUERTO,19.6,20.6,,1.4,,91,,0,3.7,200,750.9,,,,0,0,0,0,0,0,0,0,0,1,0,,-89.86686,16.916093,123
45,1/5/2023,INS171201CV,2,POPTUN,21,26.5,31.3,,,72,,4,3.8,90,,,,,1,0,0,0,0,0,0,0,0,0,0,,-89.41043,16.32566,479
